Pseudo,Total
Alastair,320
Diane,219
Esther,186
Akir,145
Endymion,141
Ryme,140
Selena,137
Airoth,135
Lazare,132
Jehane,120
Sypher,117
Asteria,110
Celestia,105
Mehry,105
Zvezdan,81
Rudjek,78
Tharros,75
Deukalyion,72
Childeric,63
Morwenna,60
Lymsleia,60
Melisandre,57
Paros,54
Xanathos,42
Odoroi,42
Merion,30
Drystan,10
Silas,6
Algebar,3
M&amp,0
M&eacute,0
